# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	1776
#@/user_id	10eb7508-e167-4823-8968-7521df318d50
guo4 ren2 	過人	c=0 d=0.1 t=1182
ha1 	哈	c=1 d=1 t=1079
ha1 ha1 	哈哈	c=1 d=1 t=1096
ha2 	蛤	c=1 d=1 t=1759
ha2 si1 	蛤絲	c=2 d=1.00261 t=1492
ha3 ha3 	奤奤	c=2 d=1.08333 t=1484
hai2 	還	c=8 d=2.51124 t=1742
hai2 bu4 gan3 	還不敢	c=1 d=1 t=294
hai2 shi4 	還是	c=6 d=1.0685 t=1764
hai2 xing2 	還行	c=1 d=0.357947 t=714
hai2 you3 	還有	c=2 d=1.24414 t=1415
hai2 zai4 	還在	c=1 d=1 t=445
han2 	涵	c=1 d=1 t=405
han3 	喊	c=1 d=1 t=291
han4 dian3 	漢典	c=5 d=1.1087 t=1291
han4 ying1 	漢英	c=1 d=1 t=915
hang2 	行	c=1 d=1 t=1084
hang2 hai3 	航海	c=1 d=1 t=363
hang2 zhang3 	行長	c=1 d=1 t=194
hao3 	好	c=4 d=1.19991 t=1146
hao3 chu3 	好處	c=1 d=1 t=1130
hao3 de5 	好的	c=1 d=1 t=788
hao3 duo1 	好多	c=1 d=1 t=1042
hao3 jiu3 	好久	c=2 d=1.87372 t=667
hao3 xiang4 	好像	c=2 d=1.32628 t=1179
hao3 yong4 	好用	c=1 d=1 t=499
hao4 ma3 	號碼	c=1 d=1 t=1756
he2 	和	c=9 d=2.06291 t=1729
he2 wu3 qi4 	核武器	c=3 d=1.94201 t=1531
hei1 	黑	c=0 d=0.1 t=1212
hen3 	很	c=3 d=1.53571 t=1264
hen3 duo1 	很多	c=3 d=2.55546 t=1110
hen3 hao3 	很好	c=1 d=1 t=653
hong1 zha4 ji1 	轟炸機	c=0 d=0.1 t=1455
hong2 	鴻	c=0 d=0.1 t=1153
hong2 mao2 	鴻茅	c=1 d=1 t=1287
